ID	ra_center	dec_center
0	0.000000	-90.000000
1	39.578710	-83.675445
2	96.991010	-83.675445
3	154.403311	-83.675445
4	211.815611	-83.675445
5	269.227911	-83.675445
6	326.640212	-83.675445
7	17.897280	-77.350889
8	46.779210	-77.350889
9	75.661141	-77.350889
10	104.543071	-77.350889
11	133.425002	-77.350889
12	162.306932	-77.350889
13	191.188862	-77.350889
14	220.070793	-77.350889
15	248.952723	-77.350889
16	277.834654	-77.350889
17	306.716584	-77.350889
18	335.598514	-77.350889
19	2.589203	-71.026334
20	22.041380	-71.026334
21	41.493557	-71.026334
22	60.945734	-71.026334
23	80.397911	-71.026334
24	99.850088	-71.026334
25	119.302266	-71.026334
26	138.754443	-71.026334
27	158.206620	-71.026334
28	177.658797	-71.026334
29	197.110974	-71.026334
30	216.563151	-71.026334
31	236.015329	-71.026334
32	255.467506	-71.026334
33	274.919683	-71.026334
34	294.371860	-71.026334
35	313.824037	-71.026334
36	333.276214	-71.026334
37	352.728392	-71.026334
38	7.752899	-64.701779
39	22.553073	-64.701779
40	37.353247	-64.701779
41	52.153421	-64.701779
42	66.953595	-64.701779
43	81.753769	-64.701779
44	96.553943	-64.701779
45	111.354117	-64.701779
46	126.154291	-64.701779
47	140.954465	-64.701779
48	155.754639	-64.701779
49	170.554812	-64.701779
50	185.354986	-64.701779
51	200.155160	-64.701779
52	214.955334	-64.701779
53	229.755508	-64.701779
54	244.555682	-64.701779
55	259.355856	-64.701779
56	274.156030	-64.701779
57	288.956204	-64.701779
58	303.756378	-64.701779
59	318.556552	-64.701779
60	333.356726	-64.701779
61	348.156900	-64.701779
62	4.472434	-58.377223
63	16.534727	-58.377223
64	28.597020	-58.377223
65	40.659314	-58.377223
66	52.721607	-58.377223
67	64.783900	-58.377223
68	76.846194	-58.377223
69	88.908487	-58.377223
70	100.970780	-58.377223
71	113.033074	-58.377223
72	125.095367	-58.377223
73	137.157661	-58.377223
74	149.219954	-58.377223
75	161.282247	-58.377223
76	173.344541	-58.377223
77	185.406834	-58.377223
78	197.469127	-58.377223
79	209.531421	-58.377223
80	221.593714	-58.377223
81	233.656008	-58.377223
82	245.718301	-58.377223
83	257.780594	-58.377223
84	269.842888	-58.377223
85	281.905181	-58.377223
86	293.967474	-58.377223
87	306.029768	-58.377223
88	318.092061	-58.377223
89	330.154354	-58.377223
90	342.216648	-58.377223
91	354.278941	-58.377223
92	7.935984	-52.052668
93	18.220870	-52.052668
94	28.505756	-52.052668
95	38.790642	-52.052668
96	49.075527	-52.052668
97	59.360413	-52.052668
98	69.645299	-52.052668
99	79.930185	-52.052668
100	90.215071	-52.052668
101	100.499957	-52.052668
102	110.784843	-52.052668
103	121.069728	-52.052668
104	131.354614	-52.052668
105	141.639500	-52.052668
106	151.924386	-52.052668
107	162.209272	-52.052668
108	172.494158	-52.052668
109	182.779043	-52.052668
110	193.063929	-52.052668
111	203.348815	-52.052668
112	213.633701	-52.052668
113	223.918587	-52.052668
114	234.203473	-52.052668
115	244.488359	-52.052668
116	254.773244	-52.052668
117	265.058130	-52.052668
118	275.343016	-52.052668
119	285.627902	-52.052668
120	295.912788	-52.052668
121	306.197674	-52.052668
122	316.482560	-52.052668
123	326.767445	-52.052668
124	337.052331	-52.052668
125	347.337217	-52.052668
126	357.622103	-52.052668
127	6.459572	-45.728113
128	15.519709	-45.728113
129	24.579845	-45.728113
130	33.639981	-45.728113
131	42.700117	-45.728113
132	51.760254	-45.728113
133	60.820390	-45.728113
134	69.880526	-45.728113
135	78.940662	-45.728113
136	88.000799	-45.728113
137	97.060935	-45.728113
138	106.121071	-45.728113
139	115.181208	-45.728113
140	124.241344	-45.728113
141	133.301480	-45.728113
142	142.361616	-45.728113
143	151.421753	-45.728113
144	160.481889	-45.728113
145	169.542025	-45.728113
146	178.602161	-45.728113
147	187.662298	-45.728113
148	196.722434	-45.728113
149	205.782570	-45.728113
150	214.842706	-45.728113
151	223.902843	-45.728113
152	232.962979	-45.728113
153	242.023115	-45.728113
154	251.083252	-45.728113
155	260.143388	-45.728113
156	269.203524	-45.728113
157	278.263660	-45.728113
158	287.323797	-45.728113
159	296.383933	-45.728113
160	305.444069	-45.728113
161	314.504205	-45.728113
162	323.564342	-45.728113
163	332.624478	-45.728113
164	341.684614	-45.728113
165	350.744750	-45.728113
166	359.804887	-45.728113
167	3.436661	-39.403557
168	11.621731	-39.403557
169	19.806800	-39.403557
170	27.991869	-39.403557
171	36.176939	-39.403557
172	44.362008	-39.403557
173	52.547077	-39.403557
174	60.732147	-39.403557
175	68.917216	-39.403557
176	77.102286	-39.403557
177	85.287355	-39.403557
178	93.472424	-39.403557
179	101.657494	-39.403557
180	109.842563	-39.403557
181	118.027632	-39.403557
182	126.212702	-39.403557
183	134.397771	-39.403557
184	142.582840	-39.403557
185	150.767910	-39.403557
186	158.952979	-39.403557
187	167.138049	-39.403557
188	175.323118	-39.403557
189	183.508187	-39.403557
190	191.693257	-39.403557
191	199.878326	-39.403557
192	208.063395	-39.403557
193	216.248465	-39.403557
194	224.433534	-39.403557
195	232.618604	-39.403557
196	240.803673	-39.403557
197	248.988742	-39.403557
198	257.173812	-39.403557
199	265.358881	-39.403557
200	273.543950	-39.403557
201	281.729020	-39.403557
202	289.914089	-39.403557
203	298.099159	-39.403557
204	306.284228	-39.403557
205	314.469297	-39.403557
206	322.654367	-39.403557
207	330.839436	-39.403557
208	339.024505	-39.403557
209	347.209575	-39.403557
210	355.394644	-39.403557
211	2.064925	-33.079002
212	9.612859	-33.079002
213	17.160792	-33.079002
214	24.708726	-33.079002
215	32.256659	-33.079002
216	39.804592	-33.079002
217	47.352526	-33.079002
218	54.900459	-33.079002
219	62.448393	-33.079002
220	69.996326	-33.079002
221	77.544260	-33.079002
222	85.092193	-33.079002
223	92.640127	-33.079002
224	100.188060	-33.079002
225	107.735994	-33.079002
226	115.283927	-33.079002
227	122.831860	-33.079002
228	130.379794	-33.079002
229	137.927727	-33.079002
230	145.475661	-33.079002
231	153.023594	-33.079002
232	160.571528	-33.079002
233	168.119461	-33.079002
234	175.667395	-33.079002
235	183.215328	-33.079002
236	190.763262	-33.079002
237	198.311195	-33.079002
238	205.859128	-33.079002
239	213.407062	-33.079002
240	220.954995	-33.079002
241	228.502929	-33.079002
242	236.050862	-33.079002
243	243.598796	-33.079002
244	251.146729	-33.079002
245	258.694663	-33.079002
246	266.242596	-33.079002
247	273.790530	-33.079002
248	281.338463	-33.079002
249	288.886396	-33.079002
250	296.434330	-33.079002
251	303.982263	-33.079002
252	311.530197	-33.079002
253	319.078130	-33.079002
254	326.626064	-33.079002
255	334.173997	-33.079002
256	341.721931	-33.079002
257	349.269864	-33.079002
258	356.817798	-33.079002
259	5.507710	-26.754447
260	12.590523	-26.754447
261	19.673336	-26.754447
262	26.756148	-26.754447
263	33.838961	-26.754447
264	40.921774	-26.754447
265	48.004587	-26.754447
266	55.087400	-26.754447
267	62.170213	-26.754447
268	69.253026	-26.754447
269	76.335839	-26.754447
270	83.418651	-26.754447
271	90.501464	-26.754447
272	97.584277	-26.754447
273	104.667090	-26.754447
274	111.749903	-26.754447
275	118.832716	-26.754447
276	125.915529	-26.754447
277	132.998342	-26.754447
278	140.081154	-26.754447
279	147.163967	-26.754447
280	154.246780	-26.754447
281	161.329593	-26.754447
282	168.412406	-26.754447
283	175.495219	-26.754447
284	182.578032	-26.754447
285	189.660845	-26.754447
286	196.743658	-26.754447
287	203.826470	-26.754447
288	210.909283	-26.754447
289	217.992096	-26.754447
290	225.074909	-26.754447
291	232.157722	-26.754447
292	239.240535	-26.754447
293	246.323348	-26.754447
294	253.406161	-26.754447
295	260.488973	-26.754447
296	267.571786	-26.754447
297	274.654599	-26.754447
298	281.737412	-26.754447
299	288.820225	-26.754447
300	295.903038	-26.754447
301	302.985851	-26.754447
302	310.068664	-26.754447
303	317.151476	-26.754447
304	324.234289	-26.754447
305	331.317102	-26.754447
306	338.399915	-26.754447
307	345.482728	-26.754447
308	352.565541	-26.754447
309	359.648354	-26.754447
310	3.043434	-20.429891
311	9.792506	-20.429891
312	16.541578	-20.429891
313	23.290650	-20.429891
314	30.039722	-20.429891
315	36.788794	-20.429891
316	43.537866	-20.429891
317	50.286938	-20.429891
318	57.036009	-20.429891
319	63.785081	-20.429891
320	70.534153	-20.429891
321	77.283225	-20.429891
322	84.032297	-20.429891
323	90.781369	-20.429891
324	97.530441	-20.429891
325	104.279513	-20.429891
326	111.028584	-20.429891
327	117.777656	-20.429891
328	124.526728	-20.429891
329	131.275800	-20.429891
330	138.024872	-20.429891
331	144.773944	-20.429891
332	151.523016	-20.429891
333	158.272087	-20.429891
334	165.021159	-20.429891
335	171.770231	-20.429891
336	178.519303	-20.429891
337	185.268375	-20.429891
338	192.017447	-20.429891
339	198.766519	-20.429891
340	205.515591	-20.429891
341	212.264662	-20.429891
342	219.013734	-20.429891
343	225.762806	-20.429891
344	232.511878	-20.429891
345	239.260950	-20.429891
346	246.010022	-20.429891
347	252.759094	-20.429891
348	259.508166	-20.429891
349	266.257237	-20.429891
350	273.006309	-20.429891
351	279.755381	-20.429891
352	286.504453	-20.429891
353	293.253525	-20.429891
354	300.002597	-20.429891
355	306.751669	-20.429891
356	313.500741	-20.429891
357	320.249812	-20.429891
358	326.998884	-20.429891
359	333.747956	-20.429891
360	340.497028	-20.429891
361	347.246100	-20.429891
362	353.995172	-20.429891
363	1.831060	-14.105336
364	8.352233	-14.105336
365	14.873406	-14.105336
366	21.394579	-14.105336
367	27.915752	-14.105336
368	34.436926	-14.105336
369	40.958099	-14.105336
370	47.479272	-14.105336
371	54.000445	-14.105336
372	60.521618	-14.105336
373	67.042791	-14.105336
374	73.563964	-14.105336
375	80.085137	-14.105336
376	86.606310	-14.105336
377	93.127484	-14.105336
378	99.648657	-14.105336
379	106.169830	-14.105336
380	112.691003	-14.105336
381	119.212176	-14.105336
382	125.733349	-14.105336
383	132.254522	-14.105336
384	138.775695	-14.105336
385	145.296868	-14.105336
386	151.818042	-14.105336
387	158.339215	-14.105336
388	164.860388	-14.105336
389	171.381561	-14.105336
390	177.902734	-14.105336
391	184.423907	-14.105336
392	190.945080	-14.105336
393	197.466253	-14.105336
394	203.987426	-14.105336
395	210.508600	-14.105336
396	217.029773	-14.105336
397	223.550946	-14.105336
398	230.072119	-14.105336
399	236.593292	-14.105336
400	243.114465	-14.105336
401	249.635638	-14.105336
402	256.156811	-14.105336
403	262.677984	-14.105336
404	269.199158	-14.105336
405	275.720331	-14.105336
406	282.241504	-14.105336
407	288.762677	-14.105336
408	295.283850	-14.105336
409	301.805023	-14.105336
410	308.326196	-14.105336
411	314.847369	-14.105336
412	321.368542	-14.105336
413	327.889715	-14.105336
414	334.410889	-14.105336
415	340.932062	-14.105336
416	347.453235	-14.105336
417	353.974408	-14.105336
418	3.482192	-7.780781
419	9.865516	-7.780781
420	16.248841	-7.780781
421	22.632166	-7.780781
422	29.015490	-7.780781
423	35.398815	-7.780781
424	41.782140	-7.780781
425	48.165464	-7.780781
426	54.548789	-7.780781
427	60.932113	-7.780781
428	67.315438	-7.780781
429	73.698763	-7.780781
430	80.082087	-7.780781
431	86.465412	-7.780781
432	92.848736	-7.780781
433	99.232061	-7.780781
434	105.615386	-7.780781
435	111.998710	-7.780781
436	118.382035	-7.780781
437	124.765360	-7.780781
438	131.148684	-7.780781
439	137.532009	-7.780781
440	143.915333	-7.780781
441	150.298658	-7.780781
442	156.681983	-7.780781
443	163.065307	-7.780781
444	169.448632	-7.780781
445	175.831957	-7.780781
446	182.215281	-7.780781
447	188.598606	-7.780781
448	194.981930	-7.780781
449	201.365255	-7.780781
450	207.748580	-7.780781
451	214.131904	-7.780781
452	220.515229	-7.780781
453	226.898553	-7.780781
454	233.281878	-7.780781
455	239.665203	-7.780781
456	246.048527	-7.780781
457	252.431852	-7.780781
458	258.815177	-7.780781
459	265.198501	-7.780781
460	271.581826	-7.780781
461	277.965150	-7.780781
462	284.348475	-7.780781
463	290.731800	-7.780781
464	297.115124	-7.780781
465	303.498449	-7.780781
466	309.881774	-7.780781
467	316.265098	-7.780781
468	322.648423	-7.780781
469	329.031747	-7.780781
470	335.415072	-7.780781
471	341.798397	-7.780781
472	348.181721	-7.780781
473	354.565046	-7.780781
474	4.678440	-1.456226
475	11.005038	-1.456226
476	17.331637	-1.456226
477	23.658235	-1.456226
478	29.984834	-1.456226
479	36.311433	-1.456226
480	42.638031	-1.456226
481	48.964630	-1.456226
482	55.291228	-1.456226
483	61.617827	-1.456226
484	67.944426	-1.456226
485	74.271024	-1.456226
486	80.597623	-1.456226
487	86.924221	-1.456226
488	93.250820	-1.456226
489	99.577419	-1.456226
490	105.904017	-1.456226
491	112.230616	-1.456226
492	118.557214	-1.456226
493	124.883813	-1.456226
494	131.210412	-1.456226
495	137.537010	-1.456226
496	143.863609	-1.456226
497	150.190207	-1.456226
498	156.516806	-1.456226
499	162.843405	-1.456226
500	169.170003	-1.456226
501	175.496602	-1.456226
502	181.823201	-1.456226
503	188.149799	-1.456226
504	194.476398	-1.456226
505	200.802996	-1.456226
506	207.129595	-1.456226
507	213.456194	-1.456226
508	219.782792	-1.456226
509	226.109391	-1.456226
510	232.435989	-1.456226
511	238.762588	-1.456226
512	245.089187	-1.456226
513	251.415785	-1.456226
514	257.742384	-1.456226
515	264.068982	-1.456226
516	270.395581	-1.456226
517	276.722180	-1.456226
518	283.048778	-1.456226
519	289.375377	-1.456226
520	295.701975	-1.456226
521	302.028574	-1.456226
522	308.355173	-1.456226
523	314.681771	-1.456226
524	321.008370	-1.456226
525	327.334968	-1.456226
526	333.661567	-1.456226
527	339.988166	-1.456226
528	346.314764	-1.456226
529	352.641363	-1.456226
530	358.967961	-1.456226
531	4.370025	4.868330
532	10.717480	4.868330
533	17.064935	4.868330
534	23.412389	4.868330
535	29.759844	4.868330
536	36.107299	4.868330
537	42.454753	4.868330
538	48.802208	4.868330
539	55.149663	4.868330
540	61.497117	4.868330
541	67.844572	4.868330
542	74.192027	4.868330
543	80.539481	4.868330
544	86.886936	4.868330
545	93.234391	4.868330
546	99.581845	4.868330
547	105.929300	4.868330
548	112.276755	4.868330
549	118.624209	4.868330
550	124.971664	4.868330
551	131.319118	4.868330
552	137.666573	4.868330
553	144.014028	4.868330
554	150.361482	4.868330
555	156.708937	4.868330
556	163.056392	4.868330
557	169.403846	4.868330
558	175.751301	4.868330
559	182.098756	4.868330
560	188.446210	4.868330
561	194.793665	4.868330
562	201.141120	4.868330
563	207.488574	4.868330
564	213.836029	4.868330
565	220.183484	4.868330
566	226.530938	4.868330
567	232.878393	4.868330
568	239.225848	4.868330
569	245.573302	4.868330
570	251.920757	4.868330
571	258.268212	4.868330
572	264.615666	4.868330
573	270.963121	4.868330
574	277.310576	4.868330
575	283.658030	4.868330
576	290.005485	4.868330
577	296.352940	4.868330
578	302.700394	4.868330
579	309.047849	4.868330
580	315.395304	4.868330
581	321.742758	4.868330
582	328.090213	4.868330
583	334.437668	4.868330
584	340.785122	4.868330
585	347.132577	4.868330
586	353.480032	4.868330
587	359.827486	4.868330
588	1.813084	11.192885
589	8.260269	11.192885
590	14.707455	11.192885
591	21.154640	11.192885
592	27.601826	11.192885
593	34.049011	11.192885
594	40.496197	11.192885
595	46.943382	11.192885
596	53.390568	11.192885
597	59.837753	11.192885
598	66.284939	11.192885
599	72.732125	11.192885
600	79.179310	11.192885
601	85.626496	11.192885
602	92.073681	11.192885
603	98.520867	11.192885
604	104.968052	11.192885
605	111.415238	11.192885
606	117.862423	11.192885
607	124.309609	11.192885
608	130.756794	11.192885
609	137.203980	11.192885
610	143.651165	11.192885
611	150.098351	11.192885
612	156.545536	11.192885
613	162.992722	11.192885
614	169.439907	11.192885
615	175.887093	11.192885
616	182.334278	11.192885
617	188.781464	11.192885
618	195.228649	11.192885
619	201.675835	11.192885
620	208.123020	11.192885
621	214.570206	11.192885
622	221.017391	11.192885
623	227.464577	11.192885
624	233.911762	11.192885
625	240.358948	11.192885
626	246.806133	11.192885
627	253.253319	11.192885
628	259.700504	11.192885
629	266.147690	11.192885
630	272.594875	11.192885
631	279.042061	11.192885
632	285.489246	11.192885
633	291.936432	11.192885
634	298.383617	11.192885
635	304.830803	11.192885
636	311.277988	11.192885
637	317.725174	11.192885
638	324.172359	11.192885
639	330.619545	11.192885
640	337.066730	11.192885
641	343.513916	11.192885
642	349.961102	11.192885
643	356.408287	11.192885
644	4.498886	17.517440
645	11.131003	17.517440
646	17.763120	17.517440
647	24.395238	17.517440
648	31.027355	17.517440
649	37.659472	17.517440
650	44.291589	17.517440
651	50.923707	17.517440
652	57.555824	17.517440
653	64.187941	17.517440
654	70.820059	17.517440
655	77.452176	17.517440
656	84.084293	17.517440
657	90.716410	17.517440
658	97.348528	17.517440
659	103.980645	17.517440
660	110.612762	17.517440
661	117.244880	17.517440
662	123.876997	17.517440
663	130.509114	17.517440
664	137.141231	17.517440
665	143.773349	17.517440
