ID	ra_center	dec_center
1	0.000000	-90.000000
2	25.055440	-88.356832
3	82.359074	-88.356832
4	139.662708	-88.356832
5	196.966342	-88.356832
6	254.269977	-88.356832
7	311.573611	-88.356832
8	11.977644	-86.713665
9	40.641247	-86.713665
10	69.304851	-86.713665
11	97.968455	-86.713665
12	126.632059	-86.713665
13	155.295662	-86.713665
14	183.959266	-86.713665
15	212.622870	-86.713665
16	241.286474	-86.713665
17	269.950077	-86.713665
18	298.613681	-86.713665
19	327.277285	-86.713665
20	355.940889	-86.713665
21	13.880972	-85.070497
22	33.003147	-85.070497
23	52.125323	-85.070497
24	71.247498	-85.070497
25	90.369674	-85.070497
26	109.491849	-85.070497
27	128.614024	-85.070497
28	147.736200	-85.070497
29	166.858375	-85.070497
30	185.980551	-85.070497
31	205.102726	-85.070497
32	224.224902	-85.070497
33	243.347077	-85.070497
34	262.469253	-85.070497
35	281.591428	-85.070497
36	300.713604	-85.070497
37	319.835779	-85.070497
38	338.957955	-85.070497
39	358.080130	-85.070497
40	6.548123	-83.427329
41	20.903532	-83.427329
42	35.258941	-83.427329
43	49.614350	-83.427329
44	63.969759	-83.427329
45	78.325168	-83.427329
46	92.680577	-83.427329
47	107.035986	-83.427329
48	121.391396	-83.427329
49	135.746805	-83.427329
50	150.102214	-83.427329
51	164.457623	-83.427329
52	178.813032	-83.427329
53	193.168441	-83.427329
54	207.523850	-83.427329
55	221.879259	-83.427329
56	236.234668	-83.427329
57	250.590078	-83.427329
58	264.945487	-83.427329
59	279.300896	-83.427329
60	293.656305	-83.427329
61	308.011714	-83.427329
62	322.367123	-83.427329
63	336.722532	-83.427329
64	351.077941	-83.427329
65	5.503962	-81.784162
66	17.002483	-81.784162
67	28.501003	-81.784162
68	39.999523	-81.784162
69	51.498043	-81.784162
70	62.996564	-81.784162
71	74.495084	-81.784162
72	85.993604	-81.784162
73	97.492124	-81.784162
74	108.990644	-81.784162
75	120.489165	-81.784162
76	131.987685	-81.784162
77	143.486205	-81.784162
78	154.984725	-81.784162
79	166.483246	-81.784162
80	177.981766	-81.784162
81	189.480286	-81.784162
82	200.978806	-81.784162
83	212.477326	-81.784162
84	223.975847	-81.784162
85	235.474367	-81.784162
86	246.972887	-81.784162
87	258.471407	-81.784162
88	269.969927	-81.784162
89	281.468448	-81.784162
90	292.966968	-81.784162
91	304.465488	-81.784162
92	315.964008	-81.784162
93	327.462529	-81.784162
94	338.961049	-81.784162
95	350.459569	-81.784162
96	2.337709	-80.140994
97	11.934293	-80.140994
98	21.530877	-80.140994
99	31.127461	-80.140994
100	40.724044	-80.140994
101	50.320628	-80.140994
102	59.917212	-80.140994
103	69.513796	-80.140994
104	79.110379	-80.140994
105	88.706963	-80.140994
106	98.303547	-80.140994
107	107.900131	-80.140994
108	117.496714	-80.140994
109	127.093298	-80.140994
110	136.689882	-80.140994
111	146.286466	-80.140994
112	155.883050	-80.140994
113	165.479633	-80.140994
