ID	ra_center	dec_center
0	0.000000	-90.000000
1	17.351624	-88.267949
2	74.656131	-88.267949
3	131.960638	-88.267949
4	189.265146	-88.267949
5	246.569653	-88.267949
6	303.874160	-88.267949
7	11.556647	-86.535898
8	40.221998	-86.535898
9	68.887348	-86.535898
10	97.552699	-86.535898
11	126.218049	-86.535898
12	154.883400	-86.535898
13	183.548750	-86.535898
14	212.214101	-86.535898
15	240.879451	-86.535898
16	269.544802	-86.535898
17	298.210152	-86.535898
18	326.875503	-86.535898
19	355.540853	-86.535898
20	13.391292	-84.803848
21	32.516091	-84.803848
22	51.640889	-84.803848
23	70.765687	-84.803848
24	89.890485	-84.803848
25	109.015284	-84.803848
26	128.140082	-84.803848
27	147.264880	-84.803848
28	166.389678	-84.803848
29	185.514477	-84.803848
30	204.639275	-84.803848
31	223.764073	-84.803848
32	242.888871	-84.803848
33	262.013670	-84.803848
34	281.138468	-84.803848
35	300.263266	-84.803848
36	319.388064	-84.803848
37	338.512863	-84.803848
38	357.637661	-84.803848
39	1.758991	-83.071797
40	16.117902	-83.071797
41	30.476813	-83.071797
42	44.835724	-83.071797
43	59.194635	-83.071797
44	73.553546	-83.071797
45	87.912457	-83.071797
46	102.271369	-83.071797
47	116.630280	-83.071797
48	130.989191	-83.071797
49	145.348102	-83.071797
50	159.707013	-83.071797
51	174.065924	-83.071797
52	188.424835	-83.071797
53	202.783746	-83.071797
54	217.142657	-83.071797
55	231.501568	-83.071797
56	245.860480	-83.071797
57	260.219391	-83.071797
58	274.578302	-83.071797
59	288.937213	-83.071797
60	303.296124	-83.071797
61	317.655035	-83.071797
62	332.013946	-83.071797
63	346.372857	-83.071797
64	11.295322	-81.339746
65	22.798228	-81.339746
66	34.301134	-81.339746
67	45.804039	-81.339746
68	57.306945	-81.339746
69	68.809851	-81.339746
70	80.312757	-81.339746
71	91.815662	-81.339746
72	103.318568	-81.339746
73	114.821474	-81.339746
74	126.324379	-81.339746
75	137.827285	-81.339746
76	149.330191	-81.339746
77	160.833097	-81.339746
78	172.336002	-81.339746
79	183.838908	-81.339746
80	195.341814	-81.339746
81	206.844719	-81.339746
82	218.347625	-81.339746
83	229.850531	-81.339746
84	241.353437	-81.339746
85	252.856342	-81.339746
86	264.359248	-81.339746
87	275.862154	-81.339746
88	287.365059	-81.339746
89	298.867965	-81.339746
90	310.370871	-81.339746
91	321.873777	-81.339746
92	333.376682	-81.339746
93	344.879588	-81.339746
94	356.382494	-81.339746
95	9.198891	-79.607695
96	18.800749	-79.607695
97	28.402607	-79.607695
98	38.004465	-79.607695
99	47.606324	-79.607695
100	57.208182	-79.607695
101	66.810040	-79.607695
102	76.411898	-79.607695
103	86.013756	-79.607695
104	95.615614	-79.607695
105	105.217472	-79.607695
106	114.819330	-79.607695
107	124.421189	-79.607695
108	134.023047	-79.607695
109	143.624905	-79.607695
110	153.226763	-79.607695
111	162.828621	-79.607695
112	172.430479	-79.607695
113	182.032337	-79.607695
114	191.634195	-79.607695
115	201.236054	-79.607695
116	210.837912	-79.607695
117	220.439770	-79.607695
118	230.041628	-79.607695
119	239.643486	-79.607695
120	249.245344	-79.607695
121	258.847202	-79.607695
122	268.449061	-79.607695
123	278.050919	-79.607695
124	287.652777	-79.607695
125	297.254635	-79.607695
126	306.856493	-79.607695
127	316.458351	-79.607695
128	326.060209	-79.607695
129	335.662067	-79.607695
130	345.263926	-79.607695
131	354.865784	-79.607695
132	4.377038	-77.875644
133	12.623557	-77.875644
134	20.870075	-77.875644
135	29.116594	-77.875644
136	37.363112	-77.875644
137	45.609631	-77.875644
138	53.856149	-77.875644
139	62.102668	-77.875644
140	70.349186	-77.875644
141	78.595705	-77.875644
142	86.842223	-77.875644
143	95.088742	-77.875644
144	103.335260	-77.875644
145	111.581779	-77.875644
146	119.828297	-77.875644
147	128.074816	-77.875644
148	136.321335	-77.875644
149	144.567853	-77.875644
150	152.814372	-77.875644
151	161.060890	-77.875644
152	169.307409	-77.875644
153	177.553927	-77.875644
154	185.800446	-77.875644
155	194.046964	-77.875644
156	202.293483	-77.875644
157	210.540001	-77.875644
158	218.786520	-77.875644
159	227.033038	-77.875644
160	235.279557	-77.875644
161	243.526075	-77.875644
162	251.772594	-77.875644
163	260.019112	-77.875644
164	268.265631	-77.875644
165	276.512149	-77.875644
166	284.758668	-77.875644
167	293.005187	-77.875644
168	301.251705	-77.875644
169	309.498224	-77.875644
170	317.744742	-77.875644
171	325.991261	-77.875644
172	334.237779	-77.875644
173	342.484298	-77.875644
174	350.730816	-77.875644
175	358.977335	-77.875644
176	3.521286	-76.143594
177	10.753551	-76.143594
178	17.985816	-76.143594
179	25.218081	-76.143594
180	32.450346	-76.143594
181	39.682610	-76.143594
182	46.914875	-76.143594
183	54.147140	-76.143594
184	61.379405	-76.143594
185	68.611670	-76.143594
186	75.843935	-76.143594
187	83.076200	-76.143594
188	90.308465	-76.143594
189	97.540730	-76.143594
190	104.772995	-76.143594
191	112.005260	-76.143594
192	119.237525	-76.143594
193	126.469790	-76.143594
194	133.702055	-76.143594
195	140.934319	-76.143594
196	148.166584	-76.143594
197	155.398849	-76.143594
198	162.631114	-76.143594
199	169.863379	-76.143594
200	177.095644	-76.143594
201	184.327909	-76.143594
202	191.560174	-76.143594
203	198.792439	-76.143594
204	206.024704	-76.143594
205	213.256969	-76.143594
206	220.489234	-76.143594
207	227.721499	-76.143594
208	234.953764	-76.143594
209	242.186029	-76.143594
210	249.418293	-76.143594
211	256.650558	-76.143594
212	263.882823	-76.143594
213	271.115088	-76.143594
214	278.347353	-76.143594
215	285.579618	-76.143594
216	292.811883	-76.143594
217	300.044148	-76.143594
218	307.276413	-76.143594
219	314.508678	-76.143594
220	321.740943	-76.143594
221	328.973208	-76.143594
222	336.205473	-76.143594
223	343.437738	-76.143594
224	350.670002	-76.143594
225	357.902267	-76.143594
226	1.807097	-74.411543
227	8.252518	-74.411543
228	14.697939	-74.411543
229	21.143360	-74.411543
230	27.588782	-74.411543
231	34.034203	-74.411543
232	40.479624	-74.411543
233	46.925045	-74.411543
234	53.370466	-74.411543
235	59.815887	-74.411543
236	66.261308	-74.411543
237	72.706730	-74.411543
238	79.152151	-74.411543
239	85.597572	-74.411543
240	92.042993	-74.411543
241	98.488414	-74.411543
242	104.933835	-74.411543
243	111.379256	-74.411543
244	117.824677	-74.411543
245	124.270099	-74.411543
246	130.715520	-74.411543
247	137.160941	-74.411543
248	143.606362	-74.411543
249	150.051783	-74.411543
250	156.497204	-74.411543
251	162.942625	-74.411543
252	169.388047	-74.411543
253	175.833468	-74.411543
254	182.278889	-74.411543
255	188.724310	-74.411543
256	195.169731	-74.411543
257	201.615152	-74.411543
258	208.060573	-74.411543
259	214.505995	-74.411543
260	220.951416	-74.411543
261	227.396837	-74.411543
262	233.842258	-74.411543
263	240.287679	-74.411543
264	246.733100	-74.411543
265	253.178521	-74.411543
266	259.623942	-74.411543
267	266.069364	-74.411543
268	272.514785	-74.411543
269	278.960206	-74.411543
270	285.405627	-74.411543
271	291.851048	-74.411543
272	298.296469	-74.411543
273	304.741890	-74.411543
274	311.187312	-74.411543
275	317.632733	-74.411543
276	324.078154	-74.411543
277	330.523575	-74.411543
278	336.968996	-74.411543
279	343.414417	-74.411543
280	349.859838	-74.411543
281	356.305260	-74.411543
282	4.538958	-72.679492
283	10.356742	-72.679492
284	16.174526	-72.679492
285	21.992310	-72.679492
286	27.810094	-72.679492
287	33.627878	-72.679492
288	39.445662	-72.679492
289	45.263446	-72.679492
290	51.081229	-72.679492
291	56.899013	-72.679492
292	62.716797	-72.679492
293	68.534581	-72.679492
294	74.352365	-72.679492
295	80.170149	-72.679492
296	85.987933	-72.679492
297	91.805716	-72.679492
298	97.623500	-72.679492
299	103.441284	-72.679492
300	109.259068	-72.679492
301	115.076852	-72.679492
302	120.894636	-72.679492
303	126.712420	-72.679492
304	132.530204	-72.679492
305	138.347987	-72.679492
306	144.165771	-72.679492
307	149.983555	-72.679492
308	155.801339	-72.679492
309	161.619123	-72.679492
310	167.436907	-72.679492
311	173.254691	-72.679492
312	179.072474	-72.679492
313	184.890258	-72.679492
314	190.708042	-72.679492
315	196.525826	-72.679492
316	202.343610	-72.679492
317	208.161394	-72.679492
318	213.979178	-72.679492
319	219.796961	-72.679492
320	225.614745	-72.679492
321	231.432529	-72.679492
322	237.250313	-72.679492
323	243.068097	-72.679492
324	248.885881	-72.679492
325	254.703665	-72.679492
326	260.521449	-72.679492
327	266.339232	-72.679492
328	272.157016	-72.679492
329	277.974800	-72.679492
330	283.792584	-72.679492
331	289.610368	-72.679492
332	295.428152	-72.679492
333	301.245936	-72.679492
334	307.063719	-72.679492
335	312.881503	-72.679492
336	318.699287	-72.679492
337	324.517071	-72.679492
338	330.334855	-72.679492
339	336.152639	-72.679492
340	341.970423	-72.679492
341	347.788207	-72.679492
342	353.605990	-72.679492
343	359.423774	-72.679492
344	4.082796	-70.947441
345	9.388750	-70.947441
346	14.694703	-70.947441
347	20.000656	-70.947441
348	25.306610	-70.947441
