ID	ra_center	dec_center
0	0.000000	-90.000000
1	46.498877	-83.675445
2	103.911177	-83.675445
3	161.323478	-83.675445
4	218.735778	-83.675445
5	276.148079	-83.675445
6	333.560379	-83.675445
7	27.992071	-77.350889
8	56.874001	-77.350889
9	85.755932	-77.350889
10	114.637862	-77.350889
11	143.519793	-77.350889
12	172.401723	-77.350889
13	201.283653	-77.350889
14	230.165584	-77.350889
15	259.047514	-77.350889
16	287.929445	-77.350889
17	316.811375	-77.350889
18	345.693305	-77.350889
19	5.527077	-71.026334
20	24.979254	-71.026334
21	44.431431	-71.026334
22	63.883608	-71.026334
23	83.335786	-71.026334
24	102.787963	-71.026334
25	122.240140	-71.026334
26	141.692317	-71.026334
27	161.144494	-71.026334
28	180.596671	-71.026334
29	200.048849	-71.026334
30	219.501026	-71.026334
31	238.953203	-71.026334
32	258.405380	-71.026334
33	277.857557	-71.026334
34	297.309734	-71.026334
35	316.761912	-71.026334
36	336.214089	-71.026334
37	355.666266	-71.026334
38	14.318381	-64.701779
39	29.118555	-64.701779
40	43.918729	-64.701779
41	58.718903	-64.701779
42	73.519077	-64.701779
43	88.319251	-64.701779
44	103.119424	-64.701779
45	117.919598	-64.701779
46	132.719772	-64.701779
47	147.519946	-64.701779
48	162.320120	-64.701779
49	177.120294	-64.701779
50	191.920468	-64.701779
51	206.720642	-64.701779
52	221.520816	-64.701779
53	236.320990	-64.701779
54	251.121164	-64.701779
55	265.921338	-64.701779
56	280.721512	-64.701779
57	295.521686	-64.701779
58	310.321860	-64.701779
59	325.122034	-64.701779
60	339.922208	-64.701779
61	354.722382	-64.701779
62	9.687355	-58.377223
63	21.749649	-58.377223
64	33.811942	-58.377223
65	45.874235	-58.377223
66	57.936529	-58.377223
67	69.998822	-58.377223
68	82.061116	-58.377223
69	94.123409	-58.377223
70	106.185702	-58.377223
71	118.247996	-58.377223
72	130.310289	-58.377223
73	142.372582	-58.377223
74	154.434876	-58.377223
75	166.497169	-58.377223
76	178.559463	-58.377223
77	190.621756	-58.377223
78	202.684049	-58.377223
79	214.746343	-58.377223
80	226.808636	-58.377223
81	238.870929	-58.377223
82	250.933223	-58.377223
83	262.995516	-58.377223
84	275.057809	-58.377223
85	287.120103	-58.377223
86	299.182396	-58.377223
87	311.244690	-58.377223
88	323.306983	-58.377223
89	335.369276	-58.377223
90	347.431570	-58.377223
91	359.493863	-58.377223
92	9.205694	-52.052668
93	19.490580	-52.052668
94	29.775466	-52.052668
95	40.060351	-52.052668
