ID	ra_center	dec_center
0	0.000000	-90.000000
1	51.321082	-86.901613
2	108.644797	-86.901613
3	165.968511	-86.901613
4	223.292225	-86.901613
5	280.615940	-86.901613
6	337.939654	-86.901613
7	3.932045	-83.803227
8	32.635862	-83.803227
9	61.339679	-83.803227
10	90.043495	-83.803227
11	118.747312	-83.803227
12	147.451128	-83.803227
13	176.154945	-83.803227
14	204.858762	-83.803227
15	233.562578	-83.803227
16	262.266395	-83.803227
17	290.970212	-83.803227
18	319.674028	-83.803227
19	348.377845	-83.803227
20	13.826594	-80.704840
21	33.009221	-80.704840
22	52.191848	-80.704840
23	71.374474	-80.704840
24	90.557101	-80.704840
25	109.739728	-80.704840
26	128.922355	-80.704840
27	148.104982	-80.704840
28	167.287609	-80.704840
29	186.470236	-80.704840
30	205.652863	-80.704840
31	224.835490	-80.704840
32	244.018117	-80.704840
33	263.200744	-80.704840
34	282.383371	-80.704840
35	301.565998	-80.704840
36	320.748625	-80.704840
37	339.931251	-80.704840
38	359.113878	-80.704840
39	12.565351	-77.606453
40	27.001610	-77.606453
41	41.437869	-77.606453
42	55.874127	-77.606453
43	70.310386	-77.606453
44	84.746645	-77.606453
45	99.182903	-77.606453
46	113.619162	-77.606453
47	128.055421	-77.606453
48	142.491680	-77.606453
49	156.927938	-77.606453
50	171.364197	-77.606453
51	185.800456	-77.606453
52	200.236715	-77.606453
53	214.672973	-77.606453
54	229.109232	-77.606453
55	243.545491	-77.606453
56	257.981749	-77.606453
57	272.418008	-77.606453
58	286.854267	-77.606453
59	301.290526	-77.606453
60	315.726784	-77.606453
61	330.163043	-77.606453
62	344.599302	-77.606453
63	359.035560	-77.606453
64	4.576365	-74.508067
65	16.176348	-74.508067
66	27.776330	-74.508067
67	39.376312	-74.508067
68	50.976295	-74.508067
69	62.576277	-74.508067
70	74.176260	-74.508067
71	85.776242	-74.508067
72	97.376224	-74.508067
73	108.976207	-74.508067
74	120.576189	-74.508067
75	132.176172	-74.508067
76	143.776154	-74.508067
77	155.376136	-74.508067
78	166.976119	-74.508067
79	178.576101	-74.508067
80	190.176084	-74.508067
81	201.776066	-74.508067
82	213.376048	-74.508067
83	224.976031	-74.508067
84	236.576013	-74.508067
85	248.175996	-74.508067
86	259.775978	-74.508067
87	271.375961	-74.508067
88	282.975943	-74.508067
89	294.575925	-74.508067
90	306.175908	-74.508067
91	317.775890	-74.508067
92	329.375873	-74.508067
93	340.975855	-74.508067
94	352.575837	-74.508067
95	5.325787	-71.409680
