ID	ra_center	dec_center
1	0.000000	-90.000000
2	44.519809	-87.354249
3	101.835956	-87.354249
4	159.152103	-87.354249
5	216.468250	-87.354249
6	273.784396	-87.354249
7	331.100543	-87.354249
8	4.352386	-84.708497
9	33.041040	-84.708497
10	61.729695	-84.708497
11	90.418350	-84.708497
12	119.107004	-84.708497
13	147.795659	-84.708497
14	176.484314	-84.708497
15	205.172968	-84.708497
16	233.861623	-84.708497
17	262.550278	-84.708497
18	291.238932	-84.708497
19	319.927587	-84.708497
20	348.616242	-84.708497
21	9.327190	-82.062746
22	28.487007	-82.062746
23	47.646824	-82.062746
24	66.806640	-82.062746
25	85.966457	-82.062746
26	105.126274	-82.062746
27	124.286091	-82.062746
28	143.445907	-82.062746
29	162.605724	-82.062746
30	181.765541	-82.062746
31	200.925358	-82.062746
32	220.085174	-82.062746
33	239.244991	-82.062746
34	258.404808	-82.062746
35	277.564625	-82.062746
36	296.724441	-82.062746
37	315.884258	-82.062746
38	335.044075	-82.062746
39	354.203892	-82.062746
40	2.714842	-79.416995
41	17.120561	-79.416995
42	31.526280	-79.416995
43	45.931999	-79.416995
44	60.337718	-79.416995
45	74.743437	-79.416995
46	89.149156	-79.416995
47	103.554875	-79.416995
48	117.960594	-79.416995
49	132.366313	-79.416995
50	146.772032	-79.416995
51	161.177751	-79.416995
52	175.583470	-79.416995
53	189.989189	-79.416995
54	204.394908	-79.416995
55	218.800627	-79.416995
56	233.206345	-79.416995
57	247.612064	-79.416995
58	262.017783	-79.416995
59	276.423502	-79.416995
60	290.829221	-79.416995
61	305.234940	-79.416995
62	319.640659	-79.416995
63	334.046378	-79.416995
64	348.452097	-79.416995
65	10.372404	-76.771243
66	21.934008	-76.771243
67	33.495611	-76.771243
68	45.057215	-76.771243
69	56.618818	-76.771243
70	68.180422	-76.771243
71	79.742025	-76.771243
72	91.303629	-76.771243
73	102.865232	-76.771243
74	114.426836	-76.771243
75	125.988440	-76.771243
76	137.550043	-76.771243
77	149.111647	-76.771243
78	160.673250	-76.771243
79	172.234854	-76.771243
80	183.796457	-76.771243
81	195.358061	-76.771243
82	206.919664	-76.771243
83	218.481268	-76.771243
84	230.042871	-76.771243
85	241.604475	-76.771243
86	253.166079	-76.771243
87	264.727682	-76.771243
88	276.289286	-76.771243
89	287.850889	-76.771243
90	299.412493	-76.771243
91	310.974096	-76.771243
92	322.535700	-76.771243
93	334.097303	-76.771243
94	345.658907	-76.771243
95	357.220510	-76.771243
96	5.981299	-74.125492
97	15.653871	-74.125492
98	25.326444	-74.125492
99	34.999017	-74.125492
100	44.671589	-74.125492
101	54.344162	-74.125492
102	64.016735	-74.125492
103	73.689307	-74.125492
104	83.361880	-74.125492
105	93.034453	-74.125492
106	102.707026	-74.125492
107	112.379598	-74.125492
108	122.052171	-74.125492
109	131.724744	-74.125492
110	141.397316	-74.125492
111	151.069889	-74.125492
112	160.742462	-74.125492
113	170.415035	-74.125492
114	180.087607	-74.125492
115	189.760180	-74.125492
116	199.432753	-74.125492
117	209.105325	-74.125492
118	218.777898	-74.125492
119	228.450471	-74.125492
120	238.123044	-74.125492
121	247.795616	-74.125492
122	257.468189	-74.125492
123	267.140762	-74.125492
124	276.813334	-74.125492
125	286.485907	-74.125492
126	296.158480	-74.125492
127	305.831053	-74.125492
128	315.503625	-74.125492
129	325.176198	-74.125492
130	334.848771	-74.125492
131	344.521343	-74.125492
132	354.193916	-74.125492
133	8.256414	-71.479741
134	16.585817	-71.479741
135	24.915221	-71.479741
136	33.244624	-71.479741
137	41.574028	-71.479741
138	49.903431	-71.479741
139	58.232835	-71.479741
140	66.562238	-71.479741
141	74.891641	-71.479741
142	83.221045	-71.479741
143	91.550448	-71.479741
144	99.879852	-71.479741
145	108.209255	-71.479741
146	116.538658	-71.479741
147	124.868062	-71.479741
148	133.197465	-71.479741
149	141.526869	-71.479741
150	149.856272	-71.479741
151	158.185675	-71.479741
152	166.515079	-71.479741
153	174.844482	-71.479741
154	183.173886	-71.479741
155	191.503289	-71.479741
156	199.832692	-71.479741
157	208.162096	-71.479741
158	216.491499	-71.479741
159	224.820903	-71.479741
160	233.150306	-71.479741
161	241.479709	-71.479741
162	249.809113	-71.479741
163	258.138516	-71.479741
164	266.467920	-71.479741
165	274.797323	-71.479741
166	283.126726	-71.479741
167	291.456130	-71.479741
168	299.785533	-71.479741
169	308.114937	-71.479741
170	316.444340	-71.479741
171	324.773743	-71.479741
172	333.103147	-71.479741
173	341.432550	-71.479741
174	349.761954	-71.479741
175	358.091357	-71.479741
176	3.548236	-68.833990
177	10.875738	-68.833990
178	18.203239	-68.833990
179	25.530740	-68.833990
180	32.858241	-68.833990
181	40.185743	-68.833990
182	47.513244	-68.833990
183	54.840745	-68.833990
184	62.168246	-68.833990
185	69.495747	-68.833990
186	76.823249	-68.833990
187	84.150750	-68.833990
188	91.478251	-68.833990
189	98.805752	-68.833990
190	106.133254	-68.833990
191	113.460755	-68.833990
192	120.788256	-68.833990
193	128.115757	-68.833990
194	135.443259	-68.833990
195	142.770760	-68.833990
196	150.098261	-68.833990
197	157.425762	-68.833990
198	164.753263	-68.833990
199	172.080765	-68.833990
200	179.408266	-68.833990
201	186.735767	-68.833990
202	194.063268	-68.833990
203	201.390770	-68.833990
204	208.718271	-68.833990
205	216.045772	-68.833990
206	223.373273	-68.833990
207	230.700775	-68.833990
208	238.028276	-68.833990
209	245.355777	-68.833990
210	252.683278	-68.833990
211	260.010779	-68.833990
212	267.338281	-68.833990
213	274.665782	-68.833990
214	281.993283	-68.833990
215	289.320784	-68.833990
216	296.648286	-68.833990
217	303.975787	-68.833990
218	311.303288	-68.833990
219	318.630789	-68.833990
220	325.958290	-68.833990
221	333.285792	-68.833990
222	340.613293	-68.833990
223	347.940794	-68.833990
224	355.268295	-68.833990
225	1.616240	-66.188238
226	8.169458	-66.188238
227	14.722677	-66.188238
228	21.275895	-66.188238
229	27.829114	-66.188238
230	34.382332	-66.188238
231	40.935551	-66.188238
232	47.488769	-66.188238
233	54.041988	-66.188238
234	60.595206	-66.188238
235	67.148425	-66.188238
236	73.701643	-66.188238
237	80.254862	-66.188238
238	86.808080	-66.188238
239	93.361299	-66.188238
240	99.914517	-66.188238
241	106.467736	-66.188238
242	113.020954	-66.188238
243	119.574173	-66.188238
244	126.127391	-66.188238
245	132.680610	-66.188238
246	139.233828	-66.188238
247	145.787047	-66.188238
248	152.340265	-66.188238
249	158.893484	-66.188238
250	165.446703	-66.188238
251	171.999921	-66.188238
252	178.553140	-66.188238
253	185.106358	-66.188238
254	191.659577	-66.188238
255	198.212795	-66.188238
256	204.766014	-66.188238
257	211.319232	-66.188238
258	217.872451	-66.188238
259	224.425669	-66.188238
260	230.978888	-66.188238
261	237.532106	-66.188238
262	244.085325	-66.188238
263	250.638543	-66.188238
264	257.191762	-66.188238
265	263.744980	-66.188238
266	270.298199	-66.188238
267	276.851417	-66.188238
268	283.404636	-66.188238
269	289.957854	-66.188238
270	296.511073	-66.188238
271	303.064291	-66.188238
272	309.617510	-66.188238
273	316.170728	-66.188238
274	322.723947	-66.188238
275	329.277166	-66.188238
276	335.830384	-66.188238
277	342.383603	-66.188238
278	348.936821	-66.188238
279	355.490040	-66.188238
280	0.696830	-63.542487
281	6.635212	-63.542487
282	12.573593	-63.542487
283	18.511975	-63.542487
284	24.450357	-63.542487
285	30.388738	-63.542487
286	36.327120	-63.542487
287	42.265502	-63.542487
288	48.203883	-63.542487
289	54.142265	-63.542487
290	60.080647	-63.542487
291	66.019028	-63.542487
292	71.957410	-63.542487
293	77.895791	-63.542487
294	83.834173	-63.542487
295	89.772555	-63.542487
296	95.710936	-63.542487
297	101.649318	-63.542487
298	107.587700	-63.542487
299	113.526081	-63.542487
300	119.464463	-63.542487
301	125.402845	-63.542487
302	131.341226	-63.542487
303	137.279608	-63.542487
304	143.217990	-63.542487
305	149.156371	-63.542487
306	155.094753	-63.542487
307	161.033135	-63.542487
308	166.971516	-63.542487
309	172.909898	-63.542487
310	178.848279	-63.542487
311	184.786661	-63.542487
312	190.725043	-63.542487
313	196.663424	-63.542487
314	202.601806	-63.542487
315	208.540188	-63.542487
316	214.478569	-63.542487
317	220.416951	-63.542487
318	226.355333	-63.542487
319	232.293714	-63.542487
320	238.232096	-63.542487
321	244.170478	-63.542487
322	250.108859	-63.542487
323	256.047241	-63.542487
324	261.985623	-63.542487
325	267.924004	-63.542487
326	273.862386	-63.542487
327	279.800767	-63.542487
328	285.739149	-63.542487
329	291.677531	-63.542487
330	297.615912	-63.542487
331	303.554294	-63.542487
332	309.492676	-63.542487
333	315.431057	-63.542487
334	321.369439	-63.542487
335	327.307821	-63.542487
336	333.246202	-63.542487
337	339.184584	-63.542487
338	345.122966	-63.542487
339	351.061347	-63.542487
340	356.999729	-63.542487
341	4.011093	-60.896736
342	9.450715	-60.896736
343	14.890337	-60.896736
344	20.329958	-60.896736
345	25.769580	-60.896736
346	31.209202	-60.896736
347	36.648824	-60.896736
348	42.088445	-60.896736
349	47.528067	-60.896736
350	52.967689	-60.896736
351	58.407311	-60.896736
352	63.846932	-60.896736
353	69.286554	-60.896736
354	74.726176	-60.896736
355	80.165798	-60.896736
356	85.605419	-60.896736
357	91.045041	-60.896736
358	96.484663	-60.896736
359	101.924285	-60.896736
360	107.363906	-60.896736
361	112.803528	-60.896736
362	118.243150	-60.896736
363	123.682772	-60.896736
364	129.122393	-60.896736
365	134.562015	-60.896736
366	140.001637	-60.896736
367	145.441259	-60.896736
368	150.880880	-60.896736
369	156.320502	-60.896736
370	161.760124	-60.896736
371	167.199746	-60.896736
372	172.639367	-60.896736
373	178.078989	-60.896736
374	183.518611	-60.896736
375	188.958233	-60.896736
376	194.397854	-60.896736
377	199.837476	-60.896736
378	205.277098	-60.896736
379	210.716720	-60.896736
380	216.156341	-60.896736
381	221.595963	-60.896736
382	227.035585	-60.896736
383	232.475207	-60.896736
384	237.914828	-60.896736
385	243.354450	-60.896736
386	248.794072	-60.896736
387	254.233694	-60.896736
388	259.673315	-60.896736
389	265.112937	-60.896736
390	270.552559	-60.896736
391	275.992181	-60.896736
392	281.431802	-60.896736
393	286.871424	-60.896736
394	292.311046	-60.896736
395	297.750668	-60.896736
396	303.190289	-60.896736
397	308.629911	-60.896736
398	314.069533	-60.896736
399	319.509155	-60.896736
400	324.948776	-60.896736
401	330.388398	-60.896736
402	335.828020	-60.896736
403	341.267642	-60.896736
404	346.707263	-60.896736
405	352.146885	-60.896736
406	357.586507	-60.896736
407	2.976780	-58.250984
