ID	ra_center	dec_center
0	0.000000	-90.000000
1	49.848450	-89.470850
2	107.145044	-89.470850
3	164.441638	-89.470850
4	221.738232	-89.470850
5	279.034826	-89.470850
6	336.331420	-89.470850
7	7.938880	-88.941699
8	36.588399	-88.941699
9	65.237917	-88.941699
10	93.887436	-88.941699
11	122.536955	-88.941699
12	151.186474	-88.941699
13	179.835993	-88.941699
14	208.485511	-88.941699
15	237.135030	-88.941699
16	265.784549	-88.941699
17	294.434068	-88.941699
18	323.083587	-88.941699
19	351.733105	-88.941699
20	13.710896	-88.412549
21	32.811932	-88.412549
22	51.912969	-88.412549
23	71.014006	-88.412549
24	90.115043	-88.412549
25	109.216080	-88.412549
26	128.317117	-88.412549
27	147.418154	-88.412549
28	166.519190	-88.412549
29	185.620227	-88.412549
30	204.721264	-88.412549
31	223.822301	-88.412549
32	242.923338	-88.412549
33	262.024375	-88.412549
34	281.125411	-88.412549
35	300.226448	-88.412549
36	319.327485	-88.412549
37	338.428522	-88.412549
38	357.529559	-88.412549
39	2.819689	-87.883399
40	17.146892	-87.883399
41	31.474096	-87.883399
42	45.801299	-87.883399
43	60.128502	-87.883399
44	74.455706	-87.883399
45	88.782909	-87.883399
46	103.110112	-87.883399
47	117.437316	-87.883399
48	131.764519	-87.883399
49	146.091722	-87.883399
50	160.418926	-87.883399
51	174.746129	-87.883399
52	189.073332	-87.883399
53	203.400536	-87.883399
54	217.727739	-87.883399
55	232.054943	-87.883399
56	246.382146	-87.883399
57	260.709349	-87.883399
58	275.036553	-87.883399
59	289.363756	-87.883399
60	303.690959	-87.883399
61	318.018163	-87.883399
62	332.345366	-87.883399
63	346.672569	-87.883399
64	10.855769	-87.354249
65	22.318998	-87.354249
66	33.782227	-87.354249
67	45.245457	-87.354249
68	56.708686	-87.354249
69	68.171915	-87.354249
70	79.635145	-87.354249
71	91.098374	-87.354249
72	102.561603	-87.354249
73	114.024833	-87.354249
74	125.488062	-87.354249
75	136.951291	-87.354249
76	148.414521	-87.354249
77	159.877750	-87.354249
78	171.340979	-87.354249
79	182.804209	-87.354249
80	194.267438	-87.354249
81	205.730668	-87.354249
82	217.193897	-87.354249
83	228.657126	-87.354249
84	240.120356	-87.354249
85	251.583585	-87.354249
86	263.046814	-87.354249
87	274.510044	-87.354249
88	285.973273	-87.354249
89	297.436502	-87.354249
90	308.899732	-87.354249
91	320.362961	-87.354249
92	331.826190	-87.354249
93	343.289420	-87.354249
94	354.752649	-87.354249
95	6.461847	-86.825098
96	16.016033	-86.825098
97	25.570218	-86.825098
98	35.124403	-86.825098
99	44.678588	-86.825098
100	54.232774	-86.825098
101	63.786959	-86.825098
102	73.341144	-86.825098
103	82.895329	-86.825098
104	92.449515	-86.825098
105	102.003700	-86.825098
106	111.557885	-86.825098
107	121.112070	-86.825098
108	130.666256	-86.825098
109	140.220441	-86.825098
110	149.774626	-86.825098
111	159.328811	-86.825098
112	168.882997	-86.825098
113	178.437182	-86.825098
114	187.991367	-86.825098
115	197.545552	-86.825098
116	207.099738	-86.825098
117	216.653923	-86.825098
118	226.208108	-86.825098
119	235.762293	-86.825098
120	245.316479	-86.825098
121	254.870664	-86.825098
122	264.424849	-86.825098
123	273.979034	-86.825098
124	283.533220	-86.825098
125	293.087405	-86.825098
126	302.641590	-86.825098
127	312.195776	-86.825098
128	321.749961	-86.825098
129	331.304146	-86.825098
130	340.858331	-86.825098
131	350.412517	-86.825098
132	359.966702	-86.825098
133	5.425762	-86.295948
134	13.616577	-86.295948
135	21.807393	-86.295948
136	29.998208	-86.295948
137	38.189024	-86.295948
138	46.379840	-86.295948
139	54.570655	-86.295948
140	62.761471	-86.295948
141	70.952286	-86.295948
142	79.143102	-86.295948
143	87.333917	-86.295948
144	95.524733	-86.295948
145	103.715548	-86.295948
146	111.906364	-86.295948
147	120.097179	-86.295948
148	128.287995	-86.295948
149	136.478811	-86.295948
150	144.669626	-86.295948
151	152.860442	-86.295948
152	161.051257	-86.295948
153	169.242073	-86.295948
154	177.432888	-86.295948
155	185.623704	-86.295948
156	193.814519	-86.295948
157	202.005335	-86.295948
158	210.196150	-86.295948
159	218.386966	-86.295948
160	226.577782	-86.295948
161	234.768597	-86.295948
162	242.959413	-86.295948
163	251.150228	-86.295948
164	259.341044	-86.295948
165	267.531859	-86.295948
166	275.722675	-86.295948
167	283.913490	-86.295948
168	292.104306	-86.295948
169	300.295122	-86.295948
170	308.485937	-86.295948
171	316.676753	-86.295948
172	324.867568	-86.295948
173	333.058384	-86.295948
174	341.249199	-86.295948
175	349.440015	-86.295948
176	357.630830	-86.295948
177	4.866981	-85.766798
178	12.035474	-85.766798
179	19.203966	-85.766798
180	26.372459	-85.766798
181	33.540951	-85.766798
182	40.709444	-85.766798
183	47.877936	-85.766798
184	55.046429	-85.766798
185	62.214921	-85.766798
186	69.383413	-85.766798
187	76.551906	-85.766798
188	83.720398	-85.766798
189	90.888891	-85.766798
190	98.057383	-85.766798
191	105.225876	-85.766798
192	112.394368	-85.766798
193	119.562861	-85.766798
194	126.731353	-85.766798
195	133.899846	-85.766798
196	141.068338	-85.766798
197	148.236831	-85.766798
198	155.405323	-85.766798
199	162.573816	-85.766798
200	169.742308	-85.766798
201	176.910801	-85.766798
202	184.079293	-85.766798
203	191.247786	-85.766798
204	198.416278	-85.766798
205	205.584771	-85.766798
206	212.753263	-85.766798
207	219.921756	-85.766798
208	227.090248	-85.766798
209	234.258741	-85.766798
210	241.427233	-85.766798
211	248.595726	-85.766798
212	255.764218	-85.766798
213	262.932711	-85.766798
214	270.101203	-85.766798
215	277.269696	-85.766798
216	284.438188	-85.766798
217	291.606681	-85.766798
218	298.775173	-85.766798
219	305.943666	-85.766798
220	313.112158	-85.766798
221	320.280651	-85.766798
222	327.449143	-85.766798
223	334.617636	-85.766798
224	341.786128	-85.766798
225	348.954620	-85.766798
226	356.123113	-85.766798
227	4.998897	-85.237648
228	11.372431	-85.237648
229	17.745965	-85.237648
230	24.119499	-85.237648
231	30.493033	-85.237648
232	36.866567	-85.237648
233	43.240101	-85.237648
234	49.613635	-85.237648
235	55.987169	-85.237648
236	62.360703	-85.237648
237	68.734237	-85.237648
238	75.107771	-85.237648
239	81.481305	-85.237648
240	87.854839	-85.237648
241	94.228373	-85.237648
242	100.601907	-85.237648
243	106.975441	-85.237648
244	113.348975	-85.237648
245	119.722509	-85.237648
246	126.096043	-85.237648
247	132.469577	-85.237648
248	138.843111	-85.237648
249	145.216645	-85.237648
250	151.590179	-85.237648
251	157.963714	-85.237648
252	164.337248	-85.237648
253	170.710782	-85.237648
254	177.084316	-85.237648
255	183.457850	-85.237648
256	189.831384	-85.237648
257	196.204918	-85.237648
258	202.578452	-85.237648
259	208.951986	-85.237648
260	215.325520	-85.237648
261	221.699054	-85.237648
262	228.072588	-85.237648
263	234.446122	-85.237648
264	240.819656	-85.237648
265	247.193190	-85.237648
266	253.566724	-85.237648
267	259.940258	-85.237648
268	266.313792	-85.237648
269	272.687326	-85.237648
270	279.060860	-85.237648
271	285.434394	-85.237648
272	291.807928	-85.237648
273	298.181462	-85.237648
274	304.554996	-85.237648
275	310.928530	-85.237648
276	317.302064	-85.237648
277	323.675598	-85.237648
278	330.049132	-85.237648
279	336.422666	-85.237648
280	342.796200	-85.237648
281	349.169734	-85.237648
282	355.543268	-85.237648
283	2.974615	-84.708497
284	8.712346	-84.708497
285	14.450077	-84.708497
286	20.187808	-84.708497
287	25.925539	-84.708497
288	31.663270	-84.708497
289	37.401001	-84.708497
290	43.138732	-84.708497
291	48.876462	-84.708497
292	54.614193	-84.708497
293	60.351924	-84.708497
294	66.089655	-84.708497
295	71.827386	-84.708497
296	77.565117	-84.708497
297	83.302848	-84.708497
298	89.040579	-84.708497
299	94.778310	-84.708497
300	100.516041	-84.708497
301	106.253772	-84.708497
302	111.991503	-84.708497
303	117.729234	-84.708497
304	123.466965	-84.708497
305	129.204696	-84.708497
306	134.942426	-84.708497
307	140.680157	-84.708497
308	146.417888	-84.708497
309	152.155619	-84.708497
310	157.893350	-84.708497
311	163.631081	-84.708497
312	169.368812	-84.708497
313	175.106543	-84.708497
314	180.844274	-84.708497
315	186.582005	-84.708497
316	192.319736	-84.708497
317	198.057467	-84.708497
318	203.795198	-84.708497
319	209.532929	-84.708497
320	215.270660	-84.708497
321	221.008390	-84.708497
322	226.746121	-84.708497
323	232.483852	-84.708497
324	238.221583	-84.708497
325	243.959314	-84.708497
326	249.697045	-84.708497
327	255.434776	-84.708497
328	261.172507	-84.708497
329	266.910238	-84.708497
330	272.647969	-84.708497
331	278.385700	-84.708497
332	284.123431	-84.708497
333	289.861162	-84.708497
334	295.598893	-84.708497
335	301.336624	-84.708497
336	307.074354	-84.708497
337	312.812085	-84.708497
338	318.549816	-84.708497
339	324.287547	-84.708497
340	330.025278	-84.708497
341	335.763009	-84.708497
342	341.500740	-84.708497
343	347.238471	-84.708497
344	352.976202	-84.708497
345	358.713933	-84.708497
346	4.898428	-84.179347
347	10.116106	-84.179347
348	15.333783	-84.179347
349	20.551460	-84.179347
350	25.769138	-84.179347
351	30.986815	-84.179347
352	36.204493	-84.179347
353	41.422170	-84.179347
354	46.639847	-84.179347
355	51.857525	-84.179347
356	57.075202	-84.179347
357	62.292880	-84.179347
358	67.510557	-84.179347
359	72.728234	-84.179347
360	77.945912	-84.179347
361	83.163589	-84.179347
362	88.381266	-84.179347
363	93.598944	-84.179347
364	98.816621	-84.179347
365	104.034299	-84.179347
366	109.251976	-84.179347
367	114.469653	-84.179347
368	119.687331	-84.179347
369	124.905008	-84.179347
370	130.122686	-84.179347
371	135.340363	-84.179347
