ID	ra_center	dec_center
0	0.000000	-90.000000
1	50.623876	-86.901613
2	107.947590	-86.901613
3	165.271305	-86.901613
4	222.595019	-86.901613
5	279.918733	-86.901613
6	337.242448	-86.901613
7	6.294965	-83.803227
8	34.998782	-83.803227
9	63.702598	-83.803227
10	92.406415	-83.803227
11	121.110231	-83.803227
12	149.814048	-83.803227
13	178.517865	-83.803227
14	207.221681	-83.803227
15	235.925498	-83.803227
16	264.629314	-83.803227
17	293.333131	-83.803227
18	322.036948	-83.803227
19	350.740764	-83.803227
20	13.535014	-80.704840
21	32.717641	-80.704840
22	51.900268	-80.704840
23	71.082895	-80.704840
24	90.265522	-80.704840
25	109.448149	-80.704840
26	128.630776	-80.704840
27	147.813403	-80.704840
28	166.996030	-80.704840
29	186.178657	-80.704840
30	205.361284	-80.704840
31	224.543910	-80.704840
32	243.726537	-80.704840
33	262.909164	-80.704840
34	282.091791	-80.704840
35	301.274418	-80.704840
36	320.457045	-80.704840
37	339.639672	-80.704840
38	358.822299	-80.704840
39	6.667168	-77.606453
40	21.103427	-77.606453
41	35.539686	-77.606453
42	49.975945	-77.606453
43	64.412203	-77.606453
44	78.848462	-77.606453
45	93.284721	-77.606453
46	107.720980	-77.606453
47	122.157238	-77.606453
48	136.593497	-77.606453
49	151.029756	-77.606453
50	165.466014	-77.606453
51	179.902273	-77.606453
52	194.338532	-77.606453
53	208.774791	-77.606453
54	223.211049	-77.606453
55	237.647308	-77.606453
56	252.083567	-77.606453
57	266.519825	-77.606453
58	280.956084	-77.606453
59	295.392343	-77.606453
60	309.828602	-77.606453
61	324.264860	-77.606453
62	338.701119	-77.606453
63	353.137378	-77.606453
64	4.822640	-74.508067
65	16.422622	-74.508067
66	28.022605	-74.508067
67	39.622587	-74.508067
68	51.222569	-74.508067
69	62.822552	-74.508067
70	74.422534	-74.508067
71	86.022517	-74.508067
72	97.622499	-74.508067
73	109.222481	-74.508067
74	120.822464	-74.508067
75	132.422446	-74.508067
76	144.022429	-74.508067
77	155.622411	-74.508067
78	167.222393	-74.508067
79	178.822376	-74.508067
80	190.422358	-74.508067
81	202.022341	-74.508067
82	213.622323	-74.508067
83	225.222305	-74.508067
84	236.822288	-74.508067
85	248.422270	-74.508067
86	260.022253	-74.508067
87	271.622235	-74.508067
88	283.222218	-74.508067
89	294.822200	-74.508067
90	306.422182	-74.508067
91	318.022165	-74.508067
92	329.622147	-74.508067
93	341.222130	-74.508067
94	352.822112	-74.508067
95	1.298404	-71.409680
96	11.017333	-71.409680
97	20.736262	-71.409680
98	30.455191	-71.409680
99	40.174120	-71.409680
100	49.893050	-71.409680
101	59.611979	-71.409680
102	69.330908	-71.409680
103	79.049837	-71.409680
104	88.768766	-71.409680
105	98.487696	-71.409680
106	108.206625	-71.409680
107	117.925554	-71.409680
108	127.644483	-71.409680
109	137.363412	-71.409680
110	147.082342	-71.409680
111	156.801271	-71.409680
112	166.520200	-71.409680
113	176.239129	-71.409680
114	185.958058	-71.409680
115	195.676987	-71.409680
116	205.395917	-71.409680
117	215.114846	-71.409680
118	224.833775	-71.409680
119	234.552704	-71.409680
120	244.271633	-71.409680
121	253.990563	-71.409680
122	263.709492	-71.409680
123	273.428421	-71.409680
124	283.147350	-71.409680
125	292.866279	-71.409680
126	302.585208	-71.409680
127	312.304138	-71.409680
128	322.023067	-71.409680
129	331.741996	-71.409680
130	341.460925	-71.409680
131	351.179854	-71.409680
132	1.127842	-68.311293
133	9.511748	-68.311293
134	17.895654	-68.311293
135	26.279560	-68.311293
136	34.663467	-68.311293
137	43.047373	-68.311293
138	51.431279	-68.311293
139	59.815185	-68.311293
140	68.199092	-68.311293
141	76.582998	-68.311293
142	84.966904	-68.311293
143	93.350810	-68.311293
144	101.734716	-68.311293
145	110.118623	-68.311293
146	118.502529	-68.311293
147	126.886435	-68.311293
148	135.270341	-68.311293
149	143.654247	-68.311293
150	152.038154	-68.311293
151	160.422060	-68.311293
152	168.805966	-68.311293
153	177.189872	-68.311293
154	185.573778	-68.311293
155	193.957685	-68.311293
156	202.341591	-68.311293
157	210.725497	-68.311293
158	219.109403	-68.311293
159	227.493310	-68.311293
160	235.877216	-68.311293
161	244.261122	-68.311293
162	252.645028	-68.311293
163	261.028934	-68.311293
164	269.412841	-68.311293
165	277.796747	-68.311293
166	286.180653	-68.311293
167	294.564559	-68.311293
168	302.948465	-68.311293
169	311.332372	-68.311293
170	319.716278	-68.311293
171	328.100184	-68.311293
172	336.484090	-68.311293
173	344.867996	-68.311293
174	353.251903	-68.311293
175	2.847815	-65.212907
176	10.238166	-65.212907
177	17.628517	-65.212907
178	25.018868	-65.212907
179	32.409218	-65.212907
