ID	ra_center	dec_center
0	0.000000	-90.000000
1	37.361075	-89.000000
2	94.659764	-89.000000
3	151.958452	-89.000000
4	209.257141	-89.000000
5	266.555829	-89.000000
6	323.854518	-89.000000
7	5.224213	-88.000000
8	33.877921	-88.000000
9	62.531630	-88.000000
10	91.185338	-88.000000
11	119.839047	-88.000000
12	148.492755	-88.000000
13	177.146463	-88.000000
14	205.800172	-88.000000
15	234.453880	-88.000000
16	263.107588	-88.000000
17	291.761297	-88.000000
18	320.415005	-88.000000
19	349.068713	-88.000000
20	13.616467	-87.000000
21	32.723790	-87.000000
22	51.831112	-87.000000
23	70.938435	-87.000000
24	90.045757	-87.000000
25	109.153080	-87.000000
26	128.260403	-87.000000
27	147.367725	-87.000000
28	166.475048	-87.000000
29	185.582370	-87.000000
30	204.689693	-87.000000
31	223.797016	-87.000000
32	242.904338	-87.000000
33	262.011661	-87.000000
34	281.118983	-87.000000
35	300.226306	-87.000000
36	319.333629	-87.000000
37	338.440951	-87.000000
38	357.548274	-87.000000
39	13.521102	-86.000000
40	27.856689	-86.000000
41	42.192276	-86.000000
42	56.527863	-86.000000
43	70.863450	-86.000000
44	85.199037	-86.000000
45	99.534625	-86.000000
46	113.870212	-86.000000
47	128.205799	-86.000000
48	142.541386	-86.000000
49	156.876973	-86.000000
50	171.212560	-86.000000
51	185.548147	-86.000000
52	199.883734	-86.000000
53	214.219321	-86.000000
54	228.554908	-86.000000
55	242.890495	-86.000000
56	257.226082	-86.000000
57	271.561669	-86.000000
58	285.897256	-86.000000
59	300.232843	-86.000000
60	314.568430	-86.000000
61	328.904017	-86.000000
62	343.239604	-86.000000
63	357.575191	-86.000000
64	11.049417	-85.000000
65	22.523131	-85.000000
66	33.996844	-85.000000
67	45.470557	-85.000000
68	56.944270	-85.000000
69	68.417984	-85.000000
70	79.891697	-85.000000
71	91.365410	-85.000000
72	102.839123	-85.000000
73	114.312837	-85.000000
74	125.786550	-85.000000
75	137.260263	-85.000000
76	148.733976	-85.000000
77	160.207690	-85.000000
78	171.681403	-85.000000
79	183.155116	-85.000000
80	194.628829	-85.000000
81	206.102543	-85.000000
82	217.576256	-85.000000
83	229.049969	-85.000000
84	240.523682	-85.000000
85	251.997396	-85.000000
86	263.471109	-85.000000
87	274.944822	-85.000000
88	286.418535	-85.000000
89	297.892249	-85.000000
90	309.365962	-85.000000
91	320.839675	-85.000000
92	332.313388	-85.000000
93	343.787102	-85.000000
94	355.260815	-85.000000
95	1.323125	-84.000000
96	10.889898	-84.000000
97	20.456670	-84.000000
98	30.023442	-84.000000
99	39.590214	-84.000000
100	49.156986	-84.000000
101	58.723759	-84.000000
102	68.290531	-84.000000
103	77.857303	-84.000000
104	87.424075	-84.000000
105	96.990848	-84.000000
106	106.557620	-84.000000
107	116.124392	-84.000000
108	125.691164	-84.000000
109	135.257937	-84.000000
110	144.824709	-84.000000
111	154.391481	-84.000000
112	163.958253	-84.000000
113	173.525026	-84.000000
114	183.091798	-84.000000
115	192.658570	-84.000000
116	202.225342	-84.000000
117	211.792114	-84.000000
118	221.358887	-84.000000
119	230.925659	-84.000000
120	240.492431	-84.000000
121	250.059203	-84.000000
122	259.625976	-84.000000
123	269.192748	-84.000000
124	278.759520	-84.000000
125	288.326292	-84.000000
126	297.893065	-84.000000
127	307.459837	-84.000000
128	317.026609	-84.000000
129	326.593381	-84.000000
130	336.160153	-84.000000
131	345.726926	-84.000000
132	355.293698	-84.000000
133	2.466369	-83.000000
134	10.671878	-83.000000
135	18.877387	-83.000000
136	27.082896	-83.000000
137	35.288405	-83.000000
138	43.493914	-83.000000
139	51.699423	-83.000000
140	59.904932	-83.000000
141	68.110441	-83.000000
142	76.315950	-83.000000
143	84.521459	-83.000000
144	92.726968	-83.000000
145	100.932477	-83.000000
146	109.137986	-83.000000
147	117.343495	-83.000000
148	125.549004	-83.000000
149	133.754513	-83.000000
150	141.960022	-83.000000
151	150.165531	-83.000000
152	158.371040	-83.000000
153	166.576550	-83.000000
154	174.782059	-83.000000
155	182.987568	-83.000000
156	191.193077	-83.000000
157	199.398586	-83.000000
158	207.604095	-83.000000
159	215.809604	-83.000000
160	224.015113	-83.000000
161	232.220622	-83.000000
162	240.426131	-83.000000
163	248.631640	-83.000000
164	256.837149	-83.000000
165	265.042658	-83.000000
166	273.248167	-83.000000
167	281.453676	-83.000000
168	289.659185	-83.000000
169	297.864694	-83.000000
170	306.070203	-83.000000
171	314.275712	-83.000000
172	322.481221	-83.000000
173	330.686731	-83.000000
174	338.892240	-83.000000
175	347.097749	-83.000000
176	355.303258	-83.000000
177	4.590183	-82.000000
178	11.775479	-82.000000
179	18.960776	-82.000000
180	26.146072	-82.000000
181	33.331369	-82.000000
182	40.516665	-82.000000
183	47.701962	-82.000000
184	54.887259	-82.000000
185	62.072555	-82.000000
186	69.257852	-82.000000
187	76.443148	-82.000000
188	83.628445	-82.000000
189	90.813741	-82.000000
190	97.999038	-82.000000
191	105.184334	-82.000000
192	112.369631	-82.000000
193	119.554927	-82.000000
194	126.740224	-82.000000
195	133.925520	-82.000000
196	141.110817	-82.000000
197	148.296113	-82.000000
198	155.481410	-82.000000
199	162.666707	-82.000000
200	169.852003	-82.000000
201	177.037300	-82.000000
202	184.222596	-82.000000
203	191.407893	-82.000000
204	198.593189	-82.000000
205	205.778486	-82.000000
206	212.963782	-82.000000
207	220.149079	-82.000000
208	227.334375	-82.000000
209	234.519672	-82.000000
210	241.704968	-82.000000
211	248.890265	-82.000000
212	256.075562	-82.000000
213	263.260858	-82.000000
214	270.446155	-82.000000
215	277.631451	-82.000000
216	284.816748	-82.000000
217	292.002044	-82.000000
218	299.187341	-82.000000
219	306.372637	-82.000000
220	313.557934	-82.000000
221	320.743230	-82.000000
222	327.928527	-82.000000
223	335.113823	-82.000000
224	342.299120	-82.000000
225	349.484416	-82.000000
226	356.669713	-82.000000
227	4.609407	-81.000000
228	11.001860	-81.000000
229	17.394313	-81.000000
230	23.786766	-81.000000
231	30.179219	-81.000000
232	36.571673	-81.000000
233	42.964126	-81.000000
234	49.356579	-81.000000
235	55.749032	-81.000000
236	62.141486	-81.000000
237	68.533939	-81.000000
238	74.926392	-81.000000
239	81.318845	-81.000000
240	87.711298	-81.000000
241	94.103752	-81.000000
242	100.496205	-81.000000
243	106.888658	-81.000000
244	113.281111	-81.000000
245	119.673565	-81.000000
246	126.066018	-81.000000
247	132.458471	-81.000000
248	138.850924	-81.000000
249	145.243377	-81.000000
250	151.635831	-81.000000
251	158.028284	-81.000000
252	164.420737	-81.000000
253	170.813190	-81.000000
254	177.205644	-81.000000
255	183.598097	-81.000000
256	189.990550	-81.000000
257	196.383003	-81.000000
258	202.775456	-81.000000
259	209.167910	-81.000000
260	215.560363	-81.000000
261	221.952816	-81.000000
262	228.345269	-81.000000
263	234.737723	-81.000000
264	241.130176	-81.000000
265	247.522629	-81.000000
266	253.915082	-81.000000
267	260.307535	-81.000000
268	266.699989	-81.000000
269	273.092442	-81.000000
270	279.484895	-81.000000
271	285.877348	-81.000000
272	292.269802	-81.000000
273	298.662255	-81.000000
274	305.054708	-81.000000
275	311.447161	-81.000000
276	317.839614	-81.000000
277	324.232068	-81.000000
278	330.624521	-81.000000
279	337.016974	-81.000000
280	343.409427	-81.000000
281	349.801881	-81.000000
282	356.194334	-81.000000
283	2.556393	-80.000000
284	8.315164	-80.000000
285	14.073934	-80.000000
286	19.832705	-80.000000
287	25.591475	-80.000000
288	31.350246	-80.000000
289	37.109016	-80.000000
290	42.867787	-80.000000
291	48.626557	-80.000000
292	54.385328	-80.000000
293	60.144098	-80.000000
294	65.902869	-80.000000
295	71.661639	-80.000000
296	77.420410	-80.000000
