ID	ra_center	dec_center
0	0.000000	-90.000000
1	45.887536	-83.144345
2	103.320261	-83.144345
3	160.752987	-83.144345
4	218.185713	-83.144345
5	275.618438	-83.144345
6	333.051164	-83.144345
7	15.106742	-76.288691
8	44.029905	-76.288691
9	72.953067	-76.288691
10	101.876230	-76.288691
11	130.799393	-76.288691
12	159.722555	-76.288691
13	188.645718	-76.288691
14	217.568881	-76.288691
15	246.492043	-76.288691
16	275.415206	-76.288691
17	304.338369	-76.288691
18	333.261531	-76.288691
19	17.293309	-69.433036
20	36.808305	-69.433036
21	56.323301	-69.433036
22	75.838297	-69.433036
23	95.353293	-69.433036
24	114.868290	-69.433036
25	134.383286	-69.433036
26	153.898282	-69.433036
27	173.413278	-69.433036
28	192.928274	-69.433036
29	212.443271	-69.433036
30	231.958267	-69.433036
31	251.473263	-69.433036
32	270.988259	-69.433036
33	290.503255	-69.433036
34	310.018252	-69.433036
35	329.533248	-69.433036
36	349.048244	-69.433036
37	3.436463	-62.577382
38	18.322254	-62.577382
39	33.208045	-62.577382
40	48.093837	-62.577382
41	62.979628	-62.577382
42	77.865419	-62.577382
43	92.751211	-62.577382
44	107.637002	-62.577382
45	122.522794	-62.577382
46	137.408585	-62.577382
47	152.294376	-62.577382
48	167.180168	-62.577382
49	182.065959	-62.577382
50	196.951750	-62.577382
51	211.837542	-62.577382
52	226.723333	-62.577382
53	241.609124	-62.577382
54	256.494916	-62.577382
55	271.380707	-62.577382
56	286.266498	-62.577382
57	301.152290	-62.577382
58	316.038081	-62.577382
59	330.923873	-62.577382
60	345.809664	-62.577382
61	4.068938	-55.721727
62	16.241344	-55.721727
63	28.413751	-55.721727
64	40.586158	-55.721727
65	52.758564	-55.721727
66	64.930971	-55.721727
67	77.103378	-55.721727
68	89.275784	-55.721727
69	101.448191	-55.721727
70	113.620598	-55.721727
71	125.793005	-55.721727
72	137.965411	-55.721727
73	150.137818	-55.721727
74	162.310225	-55.721727
75	174.482631	-55.721727
76	186.655038	-55.721727
77	198.827445	-55.721727
78	210.999851	-55.721727
79	223.172258	-55.721727
80	235.344665	-55.721727
81	247.517072	-55.721727
82	259.689478	-55.721727
83	271.861885	-55.721727
84	284.034292	-55.721727
85	296.206698	-55.721727
86	308.379105	-55.721727
87	320.551512	-55.721727
88	332.723919	-55.721727
89	344.896325	-55.721727
90	357.068732	-55.721727
91	5.061151	-48.866072
92	15.482909	-48.866072
93	25.904666	-48.866072
94	36.326424	-48.866072
95	46.748181	-48.866072
96	57.169939	-48.866072
97	67.591696	-48.866072
98	78.013454	-48.866072
99	88.435211	-48.866072
100	98.856969	-48.866072
101	109.278726	-48.866072
102	119.700484	-48.866072
103	130.122241	-48.866072
104	140.543999	-48.866072
105	150.965756	-48.866072
106	161.387514	-48.866072
107	171.809271	-48.866072
108	182.231029	-48.866072
109	192.652786	-48.866072
110	203.074544	-48.866072
111	213.496301	-48.866072
112	223.918059	-48.866072
113	234.339816	-48.866072
114	244.761574	-48.866072
115	255.183331	-48.866072
116	265.605089	-48.866072
117	276.026846	-48.866072
118	286.448604	-48.866072
119	296.870361	-48.866072
120	307.292118	-48.866072
121	317.713876	-48.866072
122	328.135633	-48.866072
123	338.557391	-48.866072
124	348.979148	-48.866072
125	359.400906	-48.866072
126	9.048387	-42.010418
127	18.275091	-42.010418
128	27.501795	-42.010418
129	36.728499	-42.010418
130	45.955203	-42.010418
131	55.181906	-42.010418
132	64.408610	-42.010418
133	73.635314	-42.010418
134	82.862018	-42.010418
135	92.088722	-42.010418
136	101.315426	-42.010418
137	110.542130	-42.010418
138	119.768834	-42.010418
139	128.995538	-42.010418
140	138.222242	-42.010418
141	147.448946	-42.010418
142	156.675650	-42.010418
143	165.902354	-42.010418
144	175.129057	-42.010418
145	184.355761	-42.010418
146	193.582465	-42.010418
147	202.809169	-42.010418
148	212.035873	-42.010418
149	221.262577	-42.010418
150	230.489281	-42.010418
151	239.715985	-42.010418
152	248.942689	-42.010418
153	258.169393	-42.010418
154	267.396097	-42.010418
155	276.622801	-42.010418
156	285.849505	-42.010418
157	295.076208	-42.010418
158	304.302912	-42.010418
159	313.529616	-42.010418
160	322.756320	-42.010418
161	331.983024	-42.010418
162	341.209728	-42.010418
163	350.436432	-42.010418
164	359.663136	-42.010418
165	7.696489	-35.154763
166	16.081588	-35.154763
167	24.466686	-35.154763
168	32.851785	-35.154763
169	41.236884	-35.154763
170	49.621982	-35.154763
171	58.007081	-35.154763
172	66.392180	-35.154763
173	74.777278	-35.154763
174	83.162377	-35.154763
175	91.547476	-35.154763
176	99.932574	-35.154763
177	108.317673	-35.154763
178	116.702772	-35.154763
179	125.087870	-35.154763
180	133.472969	-35.154763
181	141.858068	-35.154763
182	150.243166	-35.154763
183	158.628265	-35.154763
184	167.013364	-35.154763
185	175.398462	-35.154763
186	183.783561	-35.154763
187	192.168659	-35.154763
188	200.553758	-35.154763
189	208.938857	-35.154763
190	217.323955	-35.154763
191	225.709054	-35.154763
192	234.094153	-35.154763
193	242.479251	-35.154763
194	250.864350	-35.154763
195	259.249449	-35.154763
196	267.634547	-35.154763
197	276.019646	-35.154763
198	284.404745	-35.154763
199	292.789843	-35.154763
200	301.174942	-35.154763
201	309.560041	-35.154763
202	317.945139	-35.154763
203	326.330238	-35.154763
204	334.715336	-35.154763
205	343.100435	-35.154763
206	351.485534	-35.154763
207	359.870632	-35.154763
208	3.100811	-28.299109
209	10.887038	-28.299109
210	18.673266	-28.299109
211	26.459494	-28.299109
212	34.245722	-28.299109
213	42.031949	-28.299109
214	49.818177	-28.299109
215	57.604405	-28.299109
216	65.390632	-28.299109
217	73.176860	-28.299109
218	80.963088	-28.299109
219	88.749316	-28.299109
220	96.535543	-28.299109
221	104.321771	-28.299109
222	112.107999	-28.299109
223	119.894226	-28.299109
224	127.680454	-28.299109
225	135.466682	-28.299109
226	143.252910	-28.299109
227	151.039137	-28.299109
228	158.825365	-28.299109
229	166.611593	-28.299109
230	174.397820	-28.299109
231	182.184048	-28.299109
232	189.970276	-28.299109
233	197.756504	-28.299109
234	205.542731	-28.299109
235	213.328959	-28.299109
236	221.115187	-28.299109
237	228.901414	-28.299109
238	236.687642	-28.299109
239	244.473870	-28.299109
240	252.260098	-28.299109
241	260.046325	-28.299109
242	267.832553	-28.299109
243	275.618781	-28.299109
244	283.405008	-28.299109
245	291.191236	-28.299109
246	298.977464	-28.299109
247	306.763692	-28.299109
248	314.549919	-28.299109
249	322.336147	-28.299109
250	330.122375	-28.299109
251	337.908602	-28.299109
